Temperature (°C),Humidity (%),Wind Speed (mph),Precipitation (%),Cloud Cover,Atmospheric Pressure (hPa),UV Index,Season,Visibility (km),Location,Weather Type
3.0,85,6.0,96.0,Partly cloudy,984.46,1,Winter,3.5,Inland,Snowy
3.0,83,6.0,66.0,Overcast,999.44,0,Winter,1.0,Mountain,Snowy
2.0,61,16.5,63.0,Overcast,995.74,0,Winter,1.0,Inland,Snowy
2.0,105,19.0,109.0,Overcast,991.68,7,Winter,3.5,Mountain,Snowy
2.0,97,2.0,89.0,Partly cloudy,993.14,0,Winter,3.0,Inland,Snowy
2.0,81,13.5,57.0,Overcast,983.36,1,Winter,4.0,Inland,Snowy
2.0,91,6.5,92.0,Overcast,999.46,0,Winter,2.5,Inland,Snowy
2.0,80,13.5,79.0,Overcast,995.74,1,Winter,1.5,Inland,Snowy
1.0,81,9.5,63.0,Overcast,983.99,1,Winter,3.5,Mountain,Snowy
3.0,70,2.0,81.0,Overcast,984.9,1,Winter,2.0,Mountain,Snowy
3.0,81,2.5,89.0,Overcast,992.78,1,Winter,2.0,Mountain,Snowy
2.0,77,6.5,75.0,Partly cloudy,998.0,0,Winter,3.0,Mountain,Snowy
1.0,89,7.5,76.0,Partly cloudy,982.22,1,Winter,4.5,Inland,Snowy
3.0,75,10.5,73.0,Overcast,980.47,1,Winter,3.0,Mountain,Snowy
3.0,90,9.5,87.0,Overcast,997.83,0,Winter,2.5,Mountain,Snowy
2.0,86,11.5,64.0,Partly cloudy,999.36,1,Winter,2.5,Mountain,Snowy
2.0,71,11.0,66.0,Overcast,984.83,0,Winter,3.0,Mountain,Snowy
1.0,70,16.5,59.0,Overcast,990.8,1,Winter,1.5,Mountain,Snowy
2.0,105,10.5,109.0,Overcast,990.79,0,Winter,3.0,Mountain,Snowy
2.0,70,17.0,96.0,Partly cloudy,992.06,0,Winter,4.5,Inland,Snowy
1.0,65,8.0,62.0,Overcast,996.55,0,Winter,5.0,Mountain,Snowy
3.0,73,10.5,65.0,Partly cloudy,993.69,1,Winter,2.5,Mountain,Snowy
2.0,86,1.5,76.0,Overcast,990.66,1,Winter,2.5,Inland,Snowy
2.0,80,16.0,77.0,Overcast,996.19,4,Winter,1.5,Mountain,Snowy
3.0,74,15.5,92.0,Overcast,981.7,1,Winter,1.5,Mountain,Snowy
3.0,88,19.0,74.0,Overcast,986.86,1,Winter,3.5,Inland,Snowy
2.0,80,12.5,93.0,Overcast,987.85,1,Winter,1.5,Inland,Snowy
3.0,72,10.0,78.0,Overcast,987.7,1,Winter,4.5,Inland,Snowy
1.0,63,11.5,82.0,Overcast,997.03,0,Winter,1.5,Inland,Snowy
2.0,95,10.5,50.0,Partly cloudy,995.71,0,Winter,5.0,Mountain,Snowy
3.0,64,15.0,54.0,Overcast,990.39,0,Winter,1.5,Inland,Snowy
3.0,96,3.0,68.0,Overcast,984.04,1,Winter,4.0,Inland,Snowy
3.0,89,7.0,82.0,Overcast,998.9,1,Winter,3.0,Mountain,Snowy
3.0,97,3.0,66.0,Overcast,991.12,1,Winter,3.5,Inland,Snowy
3.0,89,17.0,80.0,Partly cloudy,980.91,1,Winter,4.5,Mountain,Snowy
2.0,91,10.5,93.0,Overcast,996.91,1,Winter,4.5,Mountain,Snowy
2.0,93,1.5,109.0,Overcast,980.1,2,Winter,5.0,Inland,Snowy
3.0,81,9.5,93.0,Overcast,982.62,0,Winter,1.5,Mountain,Snowy
2.0,69,9.5,93.0,Overcast,985.77,0,Winter,2.0,Mountain,Snowy
3.0,82,17.0,59.0,Overcast,984.41,0,Winter,4.0,Mountain,Snowy
3.0,97,20.0,89.0,Partly cloudy,983.22,0,Winter,4.0,Inland,Snowy
1.0,83,17.5,86.0,Overcast,984.97,1,Winter,1.0,Mountain,Snowy
2.0,75,9.0,103.0,Overcast,994.71,5,Winter,0.5,Inland,Snowy
2.0,66,7.5,74.0,Overcast,986.01,1,Winter,2.0,Mountain,Snowy
1.0,88,1.0,85.0,Overcast,986.06,0,Winter,2.0,Inland,Snowy
3.0,95,15.5,67.0,Overcast,992.03,1,Winter,1.0,Inland,Snowy
3.0,77,12.0,59.0,Overcast,991.63,0,Winter,4.0,Mountain,Snowy
2.0,81,19.5,64.0,Overcast,991.54,1,Winter,2.0,Inland,Snowy
2.0,89,11.5,94.0,Overcast,993.3,1,Winter,3.5,Mountain,Snowy
1.0,75,11.5,95.0,Partly cloudy,982.4,0,Winter,2.5,Inland,Snowy
2.0,66,6.0,61.0,Partly cloudy,985.05,1,Winter,1.5,Mountain,Snowy
1.0,60,18.5,64.0,Overcast,994.13,0,Winter,5.0,Mountain,Snowy
1.0,77,18.5,55.0,Overcast,991.04,1,Winter,5.0,Mountain,Snowy
1.0,83,6.0,54.0,Overcast,982.91,0,Winter,4.0,Mountain,Snowy
1.0,95,4.0,97.0,Overcast,987.61,0,Winter,3.0,Inland,Snowy
1.0,73,7.0,98.0,Overcast,989.18,0,Winter,2.5,Mountain,Snowy
3.0,60,18.0,61.0,Partly cloudy,990.68,1,Winter,2.5,Inland,Snowy
2.0,98,6.5,89.0,Overcast,995.47,1,Winter,1.5,Mountain,Snowy
2.0,72,12.5,90.0,Overcast,998.38,1,Winter,2.5,Mountain,Snowy
3.0,85,14.5,87.0,Overcast,980.37,1,Winter,1.0,Inland,Snowy
2.0,62,9.0,71.0,Overcast,998.28,0,Winter,1.0,Inland,Snowy
1.0,92,11.0,80.0,Partly cloudy,999.17,0,Winter,4.0,Mountain,Snowy
1.0,76,20.0,91.0,Overcast,984.85,0,Winter,1.5,Mountain,Snowy
2.0,65,19.0,63.0,Partly cloudy,990.69,1,Winter,4.5,Mountain,Snowy
1.0,60,2.5,61.0,Partly cloudy,995.83,1,Winter,2.5,Mountain,Snowy
1.0,79,19.0,95.0,Partly cloudy,987.57,13,Winter,2.0,Mountain,Snowy
3.0,96,4.0,95.0,Overcast,992.62,1,Winter,4.0,Inland,Snowy
2.0,88,3.5,65.0,Overcast,980.94,1,Winter,1.0,Inland,Snowy
2.0,72,16.5,57.0,Overcast,994.53,1,Winter,4.5,Mountain,Snowy
3.0,91,9.5,64.0,Overcast,993.39,1,Winter,2.0,Inland,Snowy
1.0,93,14.0,56.0,Overcast,992.89,0,Winter,2.5,Inland,Snowy
3.0,91,17.5,94.0,Overcast,998.51,0,Winter,1.5,Inland,Snowy
1.0,85,4.0,59.0,Overcast,983.49,1,Winter,3.5,Inland,Snowy
2.0,75,2.5,74.0,Overcast,998.57,1,Winter,2.5,Inland,Snowy
1.0,96,13.5,81.0,Overcast,982.25,0,Winter,3.0,Inland,Snowy
1.0,96,14.5,65.0,Overcast,985.89,1,Winter,3.0,Inland,Snowy
1.0,91,13.0,80.0,Partly cloudy,990.88,1,Winter,3.0,Inland,Snowy
1.0,61,2.5,89.0,Overcast,993.16,1,Winter,3.5,Inland,Snowy
1.0,72,10.5,89.0,Overcast,997.46,0,Winter,1.5,Inland,Snowy
1.0,64,19.5,52.0,Overcast,992.43,1,Winter,3.5,Inland,Snowy
1.0,91,11.0,80.0,Overcast,981.37,0,Winter,3.0,Inland,Snowy
1.0,67,3.0,76.0,Partly cloudy,986.57,0,Winter,4.0,Mountain,Snowy
1.0,88,2.5,70.0,Overcast,998.54,1,Winter,2.0,Mountain,Snowy
2.0,96,8.5,65.0,Partly cloudy,999.35,0,Winter,3.0,Mountain,Snowy
1.0,85,25.5,97.0,Overcast,994.18,9,Winter,3.5,Mountain,Snowy
1.0,86,0.5,72.0,Partly cloudy,994.27,1,Winter,4.0,Inland,Snowy
1.0,84,1.0,72.0,Overcast,989.89,0,Winter,4.5,Mountain,Snowy
2.0,62,0.5,59.0,Overcast,980.81,0,Winter,4.0,Inland,Snowy
2.0,89,14.5,65.0,Overcast,995.91,1,Winter,4.0,Mountain,Snowy
2.0,76,4.0,64.0,Overcast,997.51,1,Winter,2.5,Inland,Snowy
2.0,94,16.0,53.0,Partly cloudy,994.07,1,Winter,2.0,Mountain,Snowy
2.0,93,16.5,74.0,Overcast,984.55,0,Winter,3.5,Mountain,Snowy
3.0,61,18.5,68.0,Overcast,980.99,1,Winter,3.0,Mountain,Snowy
1.0,69,19.5,90.0,Overcast,981.82,1,Winter,3.5,Inland,Snowy
1.0,87,16.5,97.0,Overcast,980.6,1,Winter,4.0,Inland,Snowy
2.0,84,0.0,74.0,Overcast,994.41,0,Winter,3.0,Inland,Snowy
3.0,64,3.5,87.0,Overcast,986.96,1,Winter,2.0,Inland,Snowy
3.0,97,3.5,91.0,Partly cloudy,999.35,1,Winter,4.5,Mountain,Snowy
